id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
690,"asthma, kapha disorder, bronchitis",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,k76BZ9VK,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
691,"allergy, sinus, nose block",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,xmK2GZDC,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
692,"inflammation, gout",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,HV4PDIlu,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
693,"obesity, bronchitis, kapha disorder",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,CYHLxlPj,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
694,"back pain, joint pain",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,s246OrPd,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
695,"constipation, joint pain, indigestion",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,k2QLLilW,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
696,"indigestion, back pain, arthritis",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,NLaytzO2,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
697,"indigestion, joint pain, gastric problem",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,TcAmyWQv,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
698,skin rashes,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,xpU7ILnb,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
699,"joint pain, back pain, constipation",Vaidya Ritu Deshmukh,Basti,vaidya.ritu.deshmukh,iaVPaab6,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
700,"inflammation, gout, ulcer",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,7SEwS5Ox,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
701,"bronchitis, cough, respiratory issue",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,UWQ0Fris,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
702,allergy,Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,zubJLxS6,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
703,"cold, allergy, headache",Vaidya Rohan Iyer,Nasya,vaidya.rohan.iyer,2jqovcWc,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
704,"acne, blood impure",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,UXNNwF7k,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
705,"arthritis, gastric problem, joint pain",Vaidya Mohan Sharma,Basti,vaidya.mohan.sharma,eU1Tgprd,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
706,sinus,Vaidya Priya Nair,Nasya,vaidya.priya.nair,gNWwyuSr,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
707,"obesity, asthma",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,tiCu39nH,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
708,"nose block, headache, sinus",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,yJMcNefG,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
709,"blood impure, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,S7GZmIl2,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
710,eczema,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,0eJLMxoi,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
711,"ulcer, inflammation",Vaidya Nitin Bhandari,Raktamokshana,vaidya.nitin.bhandari,USCl0cXr,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
712,"inflammation, blood impure",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,y5xCLoXT,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
713,"acne, gout, blood impure",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,NeNU2tgF,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
714,"ulcer, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,r6Uv3WS0,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
715,liver problem,Vaidya Ritu Deshmukh,Virechana,vaidya.ritu.deshmukh,M4gwIsHD,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
716,"respiratory issue, bronchitis, cough",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,Nds0Ofmx,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
717,"inflammation, ulcer",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,kOA1EYbn,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
718,arthritis,Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,TSITFZrN,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
719,headache,Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,PeKUn6sL,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
720,"constipation, gastric problem, joint pain",Vaidya Anjali Nair,Basti,vaidya.anjali.nair,E9vsPdYs,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
721,"obesity, bronchitis",Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,f2e8DlHU,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
722,"indigestion, joint pain, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,c9phkiIL,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
723,"acne, ulcer",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,ZxPWMMG9,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
724,"back pain, constipation",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,F1xZ6GY5,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
725,"migraine, allergy",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,W6IGLEAt,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
726,"acidity, pimples, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,J6gkffhV,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
727,kapha disorder,Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,MbkLVx2e,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
728,allergy,Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,nau6oI0w,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
729,"acne, skin boils, gout",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,pXPZzK2X,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
730,"back pain, gastric problem, arthritis",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,50Q00hEP,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
731,"skin rashes, allergy",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,UBVf5LTc,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
732,"allergy, psoriasis",Vaidya Seema Verma,Virechana,vaidya.seema.verma,Emj4RlVU,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
733,"blood impure, ulcer, inflammation",Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,MbZf6LqL,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
734,"blood impure, inflammation, ulcer",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,qzMbKXHF,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
735,"constipation, gastric problem",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,s7gdf2b2,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
736,"inflammation, blood impure, skin boils",Vaidya Manohar Joshi,Raktamokshana,vaidya.manohar.joshi,2AQnwKr7,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
737,"respiratory issue, obesity, asthma",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,8OYaluQ8,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
738,"liver problem, skin rashes",Vaidya Aarti Kulkarni,Virechana,vaidya.aarti.kulkarni,Oxqbzmvs,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
739,"allergy, migraine",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,nvoJxl3z,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
740,"stuffy nose, allergy, nose block",Vaidya Kiran Joshi,Nasya,vaidya.kiran.joshi,psy6plD2,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
741,"eczema, allergy, liver problem",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,Z7IXU8A5,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
742,"pimples, liver problem",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,3wTkoTml,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
743,"ulcer, blood impure, acne",Vaidya Rekha Menon,Raktamokshana,vaidya.rekha.menon,8vd5C9A3,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
744,"skin boils, gout",Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,OoOtZ1Ku,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
745,"asthma, cough, kapha disorder",Vaidya Pooja Sharma,Vamana,vaidya.pooja.sharma,7CZqRCJ7,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
746,"kapha disorder, bronchitis",Vaidya Sunil Patil,Vamana,vaidya.sunil.patil,Nsqplksl,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
747,eczema,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,Qee3shei,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
